query,rewritten,source,noisy_query
11) when the jana-gana-mana adopted by the constituent assembly as the national anthem,"When was Jana-Gana-Mana (national song, anthem) adopted by the Constituent Assembly as the national anthem of India?",natural_questions,11) when the jnazgana-mana adopted by the cnstituent assembly as the national anthem
when did farm subsidies begin in the u.s,"When did agricultural subsidies (support, aid) originate (start, begin) in the United States of America (USA)?",,when did farm subsidies begin in the u.s
What milestone did the author reach on their Summer Friends blog?,"What notable achievement (milestone, landmark) did the writer attain on their Summer Friends blog (online journal, website)?",,What milestone did the author reach on theie Summer Frirndsblog?
What is the purpose of the demo site mentioned in the context?,"What is the objective (goal, intention) of the demonstration (demo) website (site, platform) mentioned in the given context (scenario, situation)?",,What is the purpose of the demo site mentioned in the context?
who does the voice of bruce on family guy,"Who provides the voice (vocal talent, actor) of Bruce (character, persona) on the animated TV show Family Guy?",natural_questions,who does the voice of bruce on famoly guy
what is an usher for showcase cinema,"What is the role (function, purpose) of an usher (assistant, attendant) in a movie theater (cinema, picture house) for a film (movie, showcase) presentation?",ms_marco,what is an usher for dhowcase cineja
what does bank account mean,"What does a bank account (financial account, deposit account) mean?",ms_marco,hat does bank acount mean
what does pan pan pan mean in aviation,"What does ""Pan-Pan-Pan"" mean in aviation (aircraft, flying), and what are its implications (significance, consequences) for pilots (aircrew, flight crew)?",ms_marco,wha tdoes pnpan pan mean inaciatiob
what is it called when achilles tendon pain,"What is the term for Achilles tendon inflammation (tendinitis, tendinosis) or pain (discomfort, soreness)?",ms_marco,what is it called when achilles tendon pain
hepatitis b vaccine how long is it good for,"What is the duration (length, period) of protection offered by the Hepatitis B vaccine (immunization, inoculation)?",ms_marco,hepatiis b vaccine jow long is it gopd for
what is the oldest line on the london underground,"What is the oldest route (line, track) on the London Underground (Tube, Metro, Subway)?",natural_questions,what is the o;dest line on the london underground
why is the english bulldog the marine corps mascot,"What is the reason (explanation, origin) behind the English Bulldog being the official mascot of the United States Marine Corps?",,why is the enhlish bulldog the maeie corps mascot
where is the i am feeling lucky button,"Where is the ""I'm Feeling Lucky"" button (fortunate, chance) in Google search?",natural_questions,where is the i am feeling lucky button
"What is the author's perspective on the statement ""SEO is Dead""?","What is the writer's (author's, creator's) viewpoint (opinion, stance) on the assertion (claim, statement) ""SEO is Dead""?",,"What is the author's perspective on the statement ""SEO is Dead""?"
in the bacterium escherichia coli dna replication is,What is the process of DNA replication in the bacterium Escherichia coli (E. coli)?,natural_questions,in the bacterium escherichia coli dna replication is
what food is suitable when weaning,"What types of food are recommended (suggested, advised) for babies during weaning (introduction to solids, transitioning from milk)?",ms_marco,what food is suitablr when weaning
what does cryptosystem mean,"What does a cryptosystem (encryption system, decryption system) mean?",ms_marco,what does cty[tosystemesn
what is the GB pound symbol called,What is the name of the GBP (British Pound) currency symbol (£)?,ms_marco,what is the GB poind symbok called
laying concrete floor cost,"What is the cost (expense, price) of laying (installing, pouring) a concrete floor (slab, foundation)?",ms_marco,laying concrete floor cost
when did the first oscar ceremony take place,"When did the inaugural (first, initial) Academy Awards (Oscars) ceremony occur (take place, happen)?",natural_questions,whenid the first oscar ermony take place
what is the lowest place in north america,"What is the lowest elevation (altitude, point) in North America?",natural_questions,what is the lowest place in north america
senior vice president jb hunt salary,"What is the average salary of a Senior Vice President (SVP, Executive VP) at JB Hunt (J.B. Hunt Transport Services)?",ms_marco,senior vice president jb hunt salary
what are the ingredients in thai iced tea,"What are the components (ingredients, constituents) of Thai iced tea (cha yen, Thai tea)?",natural_questions,what are the ingredients in thai iced tea
who won the yom kippur war of 1973,"Who emerged victorious (won, triumphant) in the Yom Kippur War (October War, 1973 Arab-Israeli War) of 1973?",,who won the yom kippur war f 1937
who has hit the most doubles in major league baseball history,Who has recorded the most two-base hits (doubles) in Major League Baseball history?,natural_questions,who has hit the most doubles in maor eague baseball history
what is the level of bachelor's degree in uk,"What is the classification (level, standard) of a Bachelor's degree (undergraduate, baccalaureate) in the UK (United Kingdom)?",natural_questions,what is teh elve lof bachelor's degree inu k
what is pharmacists salary,"What is the average salary (compensation, wage) of pharmacists (pharmacy professionals, druggists)?",ms_marco,wjat is pharmsvist ssalary
What are some of the features of Wacoal bras and panties?,"What are the key characteristics (features, attributes) of Wacoal bras and underwear (lingerie, intimates)?",,What are some of the features of Wacoal bras and panties?
when do you meet the mother in himym,When do you meet the mother (matriarch) in the TV show How I Met Your Mother (HIMYM)?,natural_questions,when do you meet the mpther in imym
what is the plant called mountain mist,"What is the name of the plant known as Mountain Mist (fog, vapor) or is it a type of shrub (bush, flora) called Mountain Mist?",ms_marco,what is the pkant xakled nountaon mist
which animal is related most closely to the sechura fox pseudalopex sechurae,"What animal is most closely related (genetically, phylogenetically) to the Sechura fox (Pseudalopex sechurae, South American grey zorro)?",natural_questions,which animal is related most closely to the securafox pseudalpex sechurae
who played gamora in guardians of the galaxy,"Who portrayed (played, acted) Gamora in the Marvel movie Guardians of the Galaxy?",,woh playwd gamora in guardians of yhe falxay
typical hospital stay after baby circumcision,"What is the average (typical, normal) length of hospital stay (recovery time, admission duration) after a baby's circumcision (male infant foreskin removal, newborn surgical procedure)?",ms_marco,typical gospital atay after vaby circumcision
did war of the world's win any awards,"Did ""War of the Worlds"" win any awards (prizes, honors, accolades)?",natural_questions,fid war of the world's win any awardq
when was the existence of the neutron confirmed,"When was the discovery (identification, verification) of the neutron's existence (presence, reality) confirmed (verified, established)?",natural_questions,when was the existence of the neutron confirmed
where does the show blue mountain state take place,"In what location (setting, site) does the TV show Blue Mountain State take place (occur, happen)?",,where does the show blue mountain state take place
the elements c n and o are contained in,"What elements contain carbon (C), nitrogen (N), and oxygen (O)?",natural_questions,the elements c n and o are contained in
average salary for a range safety officer,"What is the typical (average, median) compensation (salary, wage) for a range safety officer (shooting range officer, firearms safety specialist)?",ms_marco,veage salary for a range safety officer
What services does Sanford locksmith FL specialize in?,"What services (expertise, specialties) does Sanford locksmith in Florida (FL) specialize in (offer, provide)?",,What servuces does Sanford loclsmith FL specialize in?
what causes lupus,"What are the causes (origins, triggers) of lupus (systemic lupus erythematosus, SLE)?",ms_marco,what causes lupus
What happens to the investment when the government increases its spending in a closed economy according to the IS-LM model?,"What is the impact (effect, consequence) of government expenditure (spending, outlay) on investments in a closed economy, as explained by the IS-LM model?",,What happens to the nvetment when the government increases its spending in a closed economy according to the IS-LM model?
when does the next handmaid's tale come out,"When is the release date (air date, premiere) of the next season (episode) of The Handmaid's Tale?",natural_questions,when does the next handmaid's tale come out
Who are the main characters in Holly Black's dystopian vampire tale and what is their relationship?,"What are the primary protagonists in Holly Black's dystopian vampire narrative and what are their interconnections (bonds, relationships)?",,Who are the main characters in Holly Black's dystopian vampire tale and what is their relationship?
who wrote this is a man's world,"Who wrote the song ""This Is a Man's World"" (anthem, classic)?",natural_questions,who wrote this is a man's world
how much land did the united states buy from france,"What is the total area (size, extent) of land the United States purchased (acquired, bought) from France in the Louisiana Purchase?",,how much land did the united states buy frmo france
when did the first cd player come out,"When was the first CD (compact disc) player released (launched, introduced)?",,hwen did the first cd player coje uy
Who leads the special Jump Street division in the series?,"Who is the leader (head, commander) of the special Jump Street task force (unit, team) in the TV series (show, program)?",,Who leads the special Jump Street division in the series?
lantana toxic to cats,"Is Lantana (shrubs, plants) poisonous (toxic, harmful) to cats (felines, kittens)?",ms_marco,lantana toxic to cats
what is the name of the cathedral in florence,"What is the name of the cathedral (duomo, basilica) in Florence (Firenze), Italy?",natural_questions,whta is the nqme of the cathedral in florence
Who played the role of Caroline Ingalls in 'Little House on the Prairie' and what was her stage name?,"Who portrayed (played, acted) Caroline Ingalls in the television series 'Little House on the Prairie' and what was her professional (stage, screen) name?",,Who played the role of Caroline Ingalls in 'Little House on the Prairie' and what was her stage name?
What is the unique plant that Langela found in the nursery?,"What is the rare (unusual, exotic) plant species that Langela discovered in the greenhouse (nursery, botanical garden)?",,What is th uique pant that Langla found in the nursery?
What is the Vin001.exe process and what are its effects on a computer system?,"What is the Vin001.exe process and what are its impacts (effects, consequences) on a computer system's performance (operation, functionality)?",,What is the Vin001.exe process and what are its effects on a computer system?
how can a nand gate be used as an inverter,"How can a NAND gate be utilized as a NOT gate (inverter, negator)?",natural_questions,how can a nand gte be used as n inveter
what is the currency of italy now,"What is the current (present, contemporary) official currency (money, tender) of Italy today?",ms_marco,what is the currency of italy now
what is the highest peak in germany,"What is the highest mountain (summit, peak) in Germany?",ms_marco,whtai s the highest peak in germany
what is manufacturing,"What is the definition (meaning, explanation) of manufacturing (production, fabrication, assembly)?",ms_marco,what is manufacturing
History of Microchip Timeline,"What is the chronology (timeline, history) of microchip (integrated circuit, semiconductor) development?",ms_marco,History of Microchip Timeline
salary school counselor by in michigan,"What is the average salary (compensation, pay) of a school counselor (guidance counselor, educational therapist) in Michigan?",ms_marco,salary schoo counselor by in michigan
"What is the main dilemma faced by the flight attendant in the film ""Noodle""?","What is the primary challenge (problem, obstacle) faced by the flight attendant in the movie ""Noodle""?",,"What is the main dilemma fced by the flight attendant i the film ""Noodle""?"
what is refeeding syndrome,"What is refeeding syndrome (re-feeding, nutritional rehabilitation) and its symptoms (signs, manifestations)?",ms_marco,what is refeeding ysndrome
how old till baby can sleep on stomach,At what age is it safe (recommended) for a baby to sleep on their stomach (prone position)?,ms_marco,how lod till baby ca seep on stomach
what is a dnb,"What is a DNB (drum and bass, electronic music genre)?",ms_marco,what is  dnb
marzia name meaning,"What is the origin (meaning, significance) of the name Marzia?",ms_marco,mrzia nme mening
how long is a minute in pluto,"What is the equivalent duration (length, span) of a minute on Earth in terms of time on Pluto?",ms_marco,how long is a minute in pluto
when did one direction audition for x factor,"When did One Direction initially audition (try out, appear) for The X Factor?",natural_questions,when did oe direction audition for x factor
what clean energy does,"What role does clean energy (renewable energy, sustainable power) play in reducing carbon footprint (greenhouse gas emissions, climate change)?",ms_marco,hwat clean energy dose
cost of cooling tower per ton,"What is the cost (expense, price) of a cooling tower per ton (capacity, refrigeration ton)?",ms_marco,costo ocoling tiwer pr ton
who appeared in commercials for jello branded products,"Who starred (appeared, featured) in advertisements (commercials, ads) for Jell-O branded (Jell-O labeled, Jell-O marketed) products?",natural_questions,who appeared in commercials for jello branded products
when did america drop the first atomic bomb,"When did the United States (America, US) drop the first nuclear (atomic) bomb (nuclear weapon, atomic device)?",natural_questions,when did ameriac dtop the first atomic bom
how big was maria when it hit puerto rico,"What was the size (magnitude, scale) of Hurricane Maria when it made landfall (struck, hit) in Puerto Rico?",natural_questions,hpw big was maria when it hit puerto rico
why are some rocks called intermediate rocks,"What are intermediate rocks (igneous, sedimentary, metamorphic) called that way, and what are their characteristics (properties, features)?",ms_marco,why are some rocks called intermediate rocks
why are there no terrestrial mammals in antarctica today,"What are the reasons (causes, explanations) why there are no land (terrestrial) mammals in Antarctica (Antarctic region) at present (currently, today)?",natural_questions,why are there no terrestrial mammals in antarctica today
how much would it cost to get a starter clutch replaced?,"What is the estimated cost (price, expense) of replacing a starter clutch (clutch assembly, clutch kit) in a vehicle?",ms_marco,how much would it cost to get a starter clutch replaced?
what is ochro,"What is ochratoxin (ochro, ochratoxin A, OTA)?",ms_marco,qgst o [jro
on which ideology was the soviet political system based,"On what ideological foundation (principles, doctrine) was the Soviet political system based (founded, rooted)?",natural_questions,on which ideology was the soviet political system based
the most important mineral product of northern chile is,"What is the most significant (crucial, vital) mineral product of northern Chile, and is it (specifically, precisely)?",,the most importnt mineral prduct o nortern chle is
What is the consequence of combining Viagra with amyl nitrite?,"What are the effects (consequences, outcomes) of mixing Viagra with amyl nitrite (poppers, inhalants)?",,What is the consquence f combining Viagra with amyl nitrite?
what does *h* stand for in american premium cable and satellite television network *hbo*,"What does the abbreviation ""H"" represent in the American premium cable and satellite television network HBO (Home Box Office)?",natural_questions,what does *h* stand for in american premium xable and satellite ye;evision netwotk *hbo*
What amenities are included with a 7 night rental at the Allamanda villa?,"What facilities (amenities, features) are included with a 7-night stay (rental, booking) at the Allamanda villa?",,What amenitirs are included with a 7 night rental at the Allamanda villa?
who is the current forest minister of punjab,"Who is the present (current, incumbent) Forest Minister of Punjab (India)?",natural_questions,who is the cuerent forest minister of punjab
When and where is the Hudson High School boys track and field team scheduled to compete?,"What is the schedule (timetable, calendar) for the Hudson High School boys' track and field team's competitions (meets, events)?",,When and whwr eis the Hudson High School boys track and field team scheduled to competew
the functional unit of a muscle contraction is,"What is the functional unit (basic component, building block) of a muscle contraction, and what is its role in muscle physiology?",ms_marco,the funvtional unit of a muscle contraction is
how to write cpt codes with modifiers,"How to assign (write, create) CPT (Current Procedural Terminology) codes with modifiers (adjustments, additions)?",ms_marco,how to write cpt codes with modifiers
where was back to the future three filmed,"Where was Back to the Future Part III (three) filmed (shot, recorded, produced)?",natural_questions,where wa sback to the future yhree filmed
"cost of living in spokane, wa","What is the cost of living (expenses, expenditure) in Spokane, WA (Washington State)?",ms_marco,"cost of living in spokane, wa"
How many diaries has Daily Kos member don corazon published?,"How many journals (diaries, blogs) has Daily Kos user Don Corazon authored?",,How many diaries has Daily Kos member don corazon published?
how does increased friction affect the actual mechanical advantage of a machine,"What is the impact (effect, influence) of enhanced friction on the real (actual, true) mechanical advantage of a machine?",natural_questions,how dows increased frictiom affect the actula jechanical advantahe of a machone
how many canadian prime ministers served in the military,"How many Canadian prime ministers have served in the armed forces (military, army, navy, air force)?",natural_questions,how many canadian prime ministers served in the military
parallel translation definition,"What is the definition of parallel translation (simultaneous interpretation, side-by-side translation)?",ms_marco,parallel tranlaqtion sefinutiom
who plays brady on days of our lives,"Who portrays (plays, acts) the character Brady Black on the soap opera ""Days of Our Lives""?",natural_questions,who plays brady on days of our lives
who sings a little party never killed nobody,"Who performs (sings, performs) the song ""A Little Party Never Killed Nobody""?",,who sings a little party never killed nobody
who started the women's suffrage movement in canada,"Who initiated (founded, led) the women's suffrage (right to vote, enfranchisement) movement in Canada?",natural_questions,who stared the women's sufrage movement in canada
when are the vamps releasing their new album,"When are The Vamps releasing their new music (record, disc, LP) album?",natural_questions,when are the vamps releasing their new album
"What were the charges against Kodzo Dobosu, the former social services official who was named ""Father of the Year"" in 1983?","What were the allegations (accusations, charges) against Kodzo Dobosu, the former social services official who was named ""Father of the Year"" in 1983?",,"What were the charges against Kodzo Dobosu, the former social services official who was named ""Father of the Year"" in 1983?"
What are the four broad goals of the Army's strategic plan to improve safety?,"What are the four primary objectives (aims, targets) of the Army's strategic plan to enhance safety (security, well-being)?",,What are hte four broad goals of the Army'a strategic plan ti improve safety?
how to find the base of a parallelogram,"What are the methods (techniques) to determine (calculate, find) the base of a parallelogram (quadrilateral)?",ms_marco,how to fnid tje base of a parsllelogram
what conditions do tsunami occur,"Under what circumstances (conditions, situations) do tsunamis occur (happen, take place)?",ms_marco,wha condtios do tsunanio ccur
what is riviera maya like,"What is the Riviera Maya like (character, atmosphere, vibe)?",ms_marco,what is riviera maya like
what is the temperature of a comet,"What is the surface temperature (heat, thermal reading) of a comet (icy body, celestial entity)?",ms_marco,what d the temperature o a omet
what is metoprolol succinate,"What is metoprolol succinate (medication, drug), and what are its effects (actions, uses)?",ms_marco,what is metoprolol succinate
is the washington monument the tallest monument in the world,"Is the Washington Monument the tallest (highest, loftiest) monument (memorial, structure) globally (worldwide, internationally)?",,is the washington monument the tallest monument in the world
where is the blessed sacrament kept in a church,"Where is the Blessed Sacrament (Eucharist, Holy Communion) typically reserved or stored in a Catholic church?",natural_questions,where is the nlessrd sacramet kept in q churxh
